	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	"""Milutin Bojic"" Library"	"Digital Repository of Library ""Milutin Bojic"""	digitalna.rs	public/national library	Serbia	Fedora	3.x
1	4TU.Centre for Research Data		4tu.nl	academic	Netherlands	Fedora	
2	a degli Studi del Molise		unimol.it	academic	Italy	DSpace	1.x
3	A Estrada. Miscelanea Historica e Cultural		aestrada.com	academic	Spain	DSpace	1.x
4	A.O. Kovalevskiy Institute of Biology of the Southern Seas, Sevastopol		ibss.org.ua	research center	Ukraine	DSpace	1.x
5	A.O. Kovalevsky Institute of Marine Biological Research (IMBR)	A.O. Kovalevsky Institute of Marine Biological Research Open access repository		academic	Russia	DSpace	6.x
6	AAB College	AAB College		academic	Albania	DSpace	6.x
7	AADEM		aadem.ro	medical center	Romania	DSpace	1.x
8	Aalto University	Aaltodoc		academic	Finland	DSpace	3.x
9	Abdullah Gül University	Abdullah Gül University Institutional Repository	agu.edu.tr	academic	United States	DSpace	6.x
10	Aberystwyth University		aber.ac.uk	academic	United Kingdom	DSpace	4.x
11	Academia Colombiana De Ciencias Exactas Fisicas Y Naturales	Repositorio ACCEFYN		academic	Colombia	DSpace	6.x
12	Academia de Studii Economice a Moldovei	Institutional Repository of Economic Knowledge (IREK - AESM)		academic	Moldova	DSpace	5.x
13	Academia Diplomática del Perú Javier Pérez de Cuéllar	Repositorio Institucional de la Academia Diplomática del Perú Javier Pérez de Cuéllar	adp.edu.pe	academic	Peru	DSpace	6.x
14	Academia Sinica		sinica.edu.tw	academic	Taiwan	DSpace	1.x
15	Academic Library Association of Niigata		niigata-u.ac.jp	public/national library	Japan	DSpace	
16	Academician Y.A. Buketov Karaganda State University	KSU Repozitory		academic	Kazakhstan	DSpace	3.x
17	Academie Louvain		academielouvain.be	academic	Belgium	Fedora	
18	Academy of Mobility Humanities		journal-mobilityhumanities.com	academic	South Korea	DSpace	7.x
19	Academy of Public Administration under the aegis of the President of the Republic of Belarus		rep.pac.by	other	Belarus	DSpace	
20	Academy of Science of South Africa (ASSAf)	Academy of Science of South Africa Research Repository	assaf.org.za	government	South Africa	DSpace	5.x
21	Academy of the Ministry of Internal Affairs of the Republic of Belarus	Scientific repository of the Academy of the Ministry of Internal Affairs of the Republic of Belarus		academic	Belarus	DSpace	6.x
22	Acao Educativa		bdae.org.br	non-profit	Brazil	DSpace	1.x
23	Acatus informatique	Bibliothèque numérique générique	92.154.49.37	other	France	Fedora	4.x
24	ACE Publisheep		publisheep.com	other	United States	DSpace	1.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Acesso Livre a Informacao Cienta­fica da Embrapa (Alice)	Alice: Scientific Information of Embrapa		government	Brazil	DSpace	5.x
1	ACET	research		academic	India	DSpace	4.x
2	Acıbadem Mehmet Ali Aydınlar University	DSpace@Acibadem	acibadem.edu.tr	academic	Turkey	DSpace	4.x
3	ADA University	ADA Library Digital Repository	ada.edu.az	academic	Azerbaijan	DSpace	5.x
4	Adam Mickiewicz University, AMUR		amu.edu.pl	academic	Poland	DSpace	1.x
5	Adama Science and Technology University	ASTU-ETD		academic	Ethiopia	DSpace	4.x
6	Addis Ababa University		aau.edu.et	academic	Ethiopia	DSpace	1.x
7	Aditya College			academic	India	DSpace	1.x
8	Adnan Menderes University		adu.edu.tr	academic	Turkey	DSpace	
9	Advanced Distributed Learning (ADL) Co-Laboratory Hub		adlnet.gov	research center	United States	Fedora	
10	Advancing Interdisciplinary Research in Singing		airsplace.ca	research center	United States	Fedora	
11	AdventHealth Research Institute	Researchers@AdventHealth	adventhealthresearchinstitute.com	research center	United States	VIVO	1.10.x
12	Adventist International Institute of Advanced Studies (AIIAS)	AIIAS Repository		academic	Philippines	DSpace	1.x
13	AECID		aecid.org.uy	government	Uruguay	DSpace	1.x
14	AeP Arcada e-Publications		arcada.fi	other	Finland	DSpace	
15	Afghanistan Digital Library, New York University		nyu.edu	academic	United States	DSpace	6.x
16	African University of Science and Technology	AUST Institutional Repository	aust.edu.ng	academic	Nigeria	DSpace	5.x
17	Afyon Kocatepe Üniversitesi		aku.edu.tr	academic	Turkey	DSpace	6.x
18	Afyonkarahisar Health Sciences University	Afyonkarahisar Health Sciences University Institutional Repository	afsu.edu.tr	academic	Turkey	DSpace	6.x
19	Agencia de Obra Publica de la Junta de Andalucia, OPLex		opandalucia.es	government	Spain	DSpace	1.x
20	Agencia Espanola de Cooperacion Internacional para el Desarrollo (AECID)		aecid.org.uy	government	Uruguay	DSpace	1.x
21	Agencia Estatal de Meteorología	Arcimís (Archivo Climatológico y Meteorológico Institucional)	aemet.es	academic	Spain	DSpace	5.x
22	Agencia Nacional de Investigación y Desarrollo	Repositorio ANID	anid.cl	government	Chile	DSpace	7.x
23	Agrarian State University of Moldova	Institutional Repository in Agricultural Sciences of Agrarian State University of Moldova		academic	Moldova	DSpace	5.x
24	Agricultural Information Institute of CAAS	National Agriculture Science Data Center	agridata.cn	academic	China	Fedora	5.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	Agriculture and Food Development Authority, Teagasc		teagasc.ie	other	Ireland	DSpace	1.x
1	AgriOcean; United Nations agencies of FAO & UNESCO-IOC/IODE		193.190.8.15	other	Belgium	DSpace	1.x
2	Ağrı İbrahim Çeçen University	Ağrı İbrahim Çeçen University Institutional Repository	agri.edu.tr	academic	Turkey	DSpace	6.x
3	Ağrı İbrahim Çeçen University	Ağrı İbrahim Çeçen University Institutional Repository	agri.edu.tr	academic	Turkey	DSpace	6.x
4	AGU Library - Thư viện ĐH An Giang	AGU Library - Thư viện ĐH An Giang		academic	Vietnam	DSpace	4.x
5	Ahmadu Bello University Zaria		abu.edu.ng	academic	Nigeria	DSpace	1.x
6	Aichi Univeristy of Education		aichi-edu.ac.jp	academic	Japan	DSpace	
7	Ajman Technical High School Library	ATHS Library Catalog		academic	United Arab Emirates	DSpace	3.x
8	Ajou University Medical Library		ajou.ac.kr	academic	Korea, North	DSpace	
9	Akademie Muzickych Umeni - Academy of Performing Arts		dspace.amu.cz	academic	Czech Republic	DSpace	1.x
10	Akdeniz Üniversitesi		akdeniz.edu.tr	academic	Turkey	DSpace	6.x
11	Akdeniz University	Akdeniz Universitesi Kurumsal Arsivi		academic	Turkey	DSpace	
12	Akershus University College		oda.hio.no	academic	Norway	DSpace	
13	Akita University		akita-u.ac.jp	academic	Japan	DSpace	1.x
14	Aksaray University	Aksaray University Institutional Repository	aksaray.edu.tr	academic	Turkey	DSpace	6.x
15	Al Ain University	Al Ain University	aau.ac.ae	academic	United Arab Emirates	DSpace	6.x
16	Al Ain University of Science and Technology	Al Ain University		academic	United Arab Emirates	DSpace	
17	Al Neelain University	المستودع الرقمى لجامعة النيلين		academic	Sudan	DSpace	4.x
18	al quds open university			academic	Palestine, State of	DSpace	6.x
19	Al-Madinah Al-Munawara Research & Studies Center (MRSC)	The digital repository of Medina Research and Studies Center	repositorymrsc.com	research center	Saudi Arabia	DSpace	
20	Al-Mustansiriya University		sustech.edu	academic	Iraq	DSpace	
21	Al-Quds Open University		qou.edu	academic	Palestine, State of	DSpace	6.x
22	Al-Quds Open University	OSOL		academic	Palestinian Territory	DSpace	6.x
23	Al-Quds University	dspace		academic	Palestinian Territory	DSpace	6.x
24	Al-Quds University	Al-Quds University	alquds.edu	academic	Palestine, State of	DSpace	7.x
25	Organization Name	Site Name	Site URL	Type of Organization	Country	Technology	Version
0	ALADIN Research Commons Washington Research Library Consortium		wrlc.org	academic	United States	DSpace	
1	ALADIN Research Commons_American University		wrlc.org	consortium	United States	DSpace	1.x
2	ALADIN Research Commons_Catholic University of America		wrlc.org	consortium	United States	DSpace	1.x
3	ALADIN Research Commons_Gallaudet University		wrlc.org	consortium	United States	DSpace	1.x
4	ALADIN Research Commons_George Mason University		wrlc.org	consortium	United States	DSpace	1.x
5	ALADIN Research Commons_George Washington University		wrlc.org	consortium	United States	DSpace	1.x
6	ALADIN Research Commons_Georgetown University		wrlc.org	consortium	United States	DSpace	1.x
7	ALADIN Research Commons_Marymount University		wrlc.org	consortium	United States	DSpace	1.x
8	ALADIN Research Commons, Howard University		wrlc.org	academic	United States	DSpace	1.x
9	ALADIN Research Commons, University of the District of Columbia		wrlc.org	academic	United States	DSpace	1.x
10	Alanya Alaaddin Keykubat University	Alanya Alaaddin Keykubat University Institutional Repository	alanya.edu.tr	academic	Turkey	DSpace	6.x
11	Albanian Institute of Science	Academic'al Researcher's Network	rash.al	research center	Albania	VIVO	1.7.x
12	Albany State University		openrepository.com	academic	United States	DSpace	
13	Aletheia University		au.edu.tw	academic	Taiwan	DSpace	
14	alfalah university	alfalah university		academic	United Arab Emirates	DSpace	4.x
15	Alfred R. Neumann Library, University of Houston - Clear Lake	Institutional Repository @ UHCL	tdl.org	academic	United States	DSpace	6.x
16	Alfred University Research and Archives	Alfred University Research and Archives		academic	United States	DSpace	5.x
17	Alfred Wegener Institute for Polar and Marine Research		www.awi.de	research center	Germany	Fedora	
18	aLif Tech			government	Brunei Darussalam	DSpace	1.x
19	Allegheny College		allegheny.edu	academic	United States	DSpace	5.x
20	Alliance B School		alliancebschool.org	academic	India	DSpace	1.x
21	Almaty Management University		almau.edu.kz	academic	Kazakhstan	DSpace	5.x
