Journal of Interdisciplinary Methodologies and Issues in Sciences	Journal	Not yet registered		https://jimis.episciences.org
Épijournal de Géométrie Algébrique	Journal	collected from a compatible aggregator		https://epiga.episciences.org
Discrete Mathematics &amp; Theoretical Computer Science	Journal	Not yet registered		https://dmtcs.episciences.org
Environnement, Ingénierie &amp; Développement	Journal	collected from a compatible aggregator		https://eid.episciences.org
Sociétés plurielles	Journal	Not yet registered		https://societes-plurielles.episciences.org
Logical Methods in Computer Science	Journal	Not yet registered		https://lmcs.episciences.org
Analyse de réseaux pour les sciences sociales	Journal	Not yet registered		https://arcs.episciences.org/
Mathematical Neuroscience and Applications	Journal	Not yet registered		https://mna.episciences.org/
Slovo	Journal	collected from a compatible aggregator		https://slovo.episciences.org
Journal of Theoretical, Computational and Applied Mechanics	Journal	Not yet registered		https://jtcam.episciences.org/
Open Communications in Nonlinear Mathematical Physics	Journal	Not yet registered		https://ocnmp.episciences.org/
Hardy-Ramanujan Journal	Journal	Not yet registered		https://hrj.episciences.org
Les Cahiers Scientifiques du Transport / Scientific Papers in Transportation	Journal	Not yet registered		https://cst.episciences.org/
Journal of Groups, Complexity, Cryptology	Journal	Not yet registered		https://gcc.episciences.org
Communications in Mathematics	Journal	Not yet registered		https://cm.episciences.org/
Management &amp; organisations du sport	Journal	Not yet registered		https://mos.episciences.org/
Journal of Data Mining &amp; Digital Humanities	Journal	collected from a compatible aggregator		https://jdmdh.episciences.org
Revue Africaine de la Recherche en Informatique et Mathématiques Appliquées	Journal	collected from a compatible aggregator		https://arima.episciences.org
Journal of Nonsmooth Analysis and Optimization	Journal	collected from a compatible aggregator		https://jnsao.episciences.org
Journal d'Interaction Personne-Système	Journal	collected from a compatible aggregator		https://jips.episciences.org
TheoretiCS	Journal	Not yet registered		https://theoretics.episciences.org/
International Journal of Innovative Technologies in Economy	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/ijite
Science Review	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/sr
European Journal of Intelligent Transportation Systems	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/ejits
International Journal of Innovative Technologies in Social Science	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/ijitss
International Academy Journal Web of Scholar	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/wos
World Science	Journal	collected from a compatible aggregator		https://rsglobal.pl/index.php/ws
Jurnal Ilmiah Pendidikan Scholastic	Journal	collected from a compatible aggregator		http://e-journal.sastra-unes.com/index.php/JIPS/index
Jurnal Ilmiah Langue and Parole	Journal	collected from a compatible aggregator		http://e-journal.sastra-unes.com/index.php/JILP/index
Innovation and Software	Journal	collected from a compatible aggregator		https://revistas.ulasalle.edu.pe/innosoft/index
International Journal of Occupational and Environmental Safety	Journal	collected from a compatible aggregator		https://ijooes.fe.up.pt/index
Journal of Innovation Management	Journal	Not yet registered		https://journalsojs3.fe.up.pt/index.php/jim/index
U.Porto Journal of Engineering	Journal	Not yet registered		https://journalengineering.fe.up.pt/index
REMIK (Riset dan E-Jurnal Manajemen Informatika Komputer)	Journal	collected from a compatible aggregator		https://jurnal.polgan.ac.id/index.php/remik/index
Sinkron : Jurnal dan Penelitian Teknik Informatika	Journal	collected from a compatible aggregator		https://jurnal.polgan.ac.id/index.php/sinkron/index
Jurnal Biotropikal Sains	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/biotropikal/index
Jurnal MIPA - Penelitian dan Pengembangan (JMIPA)	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/MIPA/index
Media Kesehatan Masyarakat	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/MKM/index
Cendana Medical Journal (CMJ)	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/CMJ/index
LONTAR Jurnal Teknik Mesin Undana (LJTMU )	Journal	collected from a compatible aggregator		http://ejurnal.undana.ac.id/index.php/LJTMU
JURNAL SPEKTRO	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/spektro/index
Chemistry Notes	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/CN/index
JURNAL KAJIAN VETERINER	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/JKV/index
Jurnal Veteriner Nusantara	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/jvn/index
Media Elektro	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/jme/index
Journal of Management : Small and Medium Enterprises (SMEs)	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/JEM/index
Buletin Ilmiah Impas	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/impas/index
JURNAL AKUNTANSI : TRANSPARANSI DAN AKUNTABILITAS	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/JAK/index
Academic Journal of Educational Sciences	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/AJES/index
Jurnal Komputer dan Informatika (JICON)	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/jicon/index
GEWANG: Gerbang Wacana dan Rancang Arsitektur	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/gewang/index
JURNAL NUKLEUS PETERNAKAN	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/nukleus/index
Jurnal Teknologi	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/jurnal_teknologi/index
Jurnal EXCELLENTIA	Journal	collected from a compatible aggregator		https://ejurnal.undana.ac.id/JEXCEL/index
FiTUA: Journal of Islamic Studies	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fitua/
Fashluna: Jurnal Pendidikan Dasar dan Keguruan	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fashluna/
Fitrah: Jurnal Studi Pendidikan	Journal	collected from a compatible aggregator		http://ejournal.stitbima.ac.id/index.php/fitrah/
VIRTA	CRIS Aggregator	OpenAIRE CRIS v1.1	https://virta-jtp.csc.fi/api/cerif	https://www.csc.fi
Metis Radboud University	CRIS System	Not yet registered		https://metistst.ru.nl/
VTT Research Information System	CRIS System	Not yet registered		https://cris.vtt.fi
Научные журналы АлтГУ	Journal Aggregator/Publisher	OpenAIRE Basic (DRIVER OA)	http://journal.asu.ru/index.php/index/oai	http://journal.asu.ru/index.php/index/index
Journal of Open Hardware	Journal	OpenAIRE 3.0 (OA, funding)	http://openhardware.metajnl.com/jms/index.php/up/oai/	http://openhardware.metajnl.com/
Revista Voces de la Educación	Journal	OpenAIRE Basic (DRIVER OA)	http://www.revista.vocesdelaeducacion.com.mx/index.php/index/oai	http://www.revista.vocesdelaeducacion.com.mx/index.php/voces/index
Portal de Revistas Científicas da UFPA	Journal Aggregator/Publisher	OpenAIRE Basic (DRIVER OA)	http://www.periodicos.ufpa.br/index.php/index/oai	http://www.periodicos.ufpa.br/
Revista de Ciência da Computação	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/recic
FLOEMA. Caderno de Teoria e História Literária	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/floema
Politeia: História e Sociedade	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/politeia
Revista Extensão &amp; Cidadania	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/recuesb
Revista de Iniciação à Docência	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rid
fólio - Revista de Letras	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/folio
Filosofando: Revista Eletrônica de Filosofia da UESB	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/filosofando
Geopauta	Journal	Not yet registered		http://periodicos2.uesb.br/index.php/geo
Estudos da Língua(gem)	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/estudosdalinguagem
Revista Científica do Curso de Direito	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rccd
Revista Binacional Brasil-Argentina: Diálogo entre as ciências	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/rbba
Aprender - Caderno de Filosofia e Psicologia da Educação	Journal	collected from a compatible aggregator		http://periodicos2.uesb.br/index.php/aprender
