Name,Type,Compatibility,OAI-PMH,website
"OpenAPC Global Initiative","Data Repository Aggregator","proprietary","","https://www.openapc.net/"
"California Fish and Wildlife Journal","Journal","collected from a compatible aggregator","","https://wildlife.ca.gov/Publications/Journal"
"Digital Defoe: Studies in Defoe &amp; His Contemporaries","Journal","Not yet registered","","https://digitaldefoe.org"
"Journal of Global Radiology","Journal","collected from a compatible aggregator","","https://publishing.escholarship.umassmed.edu/jgr/"
"Apparatus. Film, Media and Digital Cultures of Central and Eastern Europe","Journal","collected from a compatible aggregator","","http://www.apparatusjournal.net"
"Open Political Science","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/openps"
"JCO Global Oncology","Journal","Not yet registered","","https://ascopubs.org/journal/go"
"Open Life Sciences","Journal","collected from a compatible aggregator","","http://www.degruyter.com/view/j/biol"
"Journal für Kulturpflanzen","Journal","collected from a compatible aggregator","","https://ojs.openagrar.de/index.php/Kulturpflanzenjournal"
"Journal of Mason Graduate Research","Journal","Not yet registered","","http://journals.gmu.edu/jmgr"
"Nineteenth-Century Gender Studies","Journal","Not yet registered","","http://www.ncgsjournal.com/"
"Studies in 20th &amp; 21st Century Literature","Journal","collected from a compatible aggregator","","http://newprairiepress.org/sttcl/"
"Journal of Historical Syntax","Journal","collected from a compatible aggregator","","http://historicalsyntax.org"
"Health, Culture and Society","Journal","collected from a compatible aggregator","","http://hcs.pitt.edu"
"History of Geo- and Space Sciences","Journal","collected from a compatible aggregator","","http://www.history-of-geo-and-space-sciences.net"
"Theological Librarianship","Journal","collected from a compatible aggregator","","https://serials.atla.com/theolib"
"Journal of Noncommutative Geometry","Journal","Not yet registered","","https://ems.press/journals/jncg"
"Critical Questions in Education","Journal","Not yet registered","","http://academyforeducationalstudies.org/journals/journal/"
"New York Journal of Mathematics","Journal","collected from a compatible aggregator","","https://nyjm.albany.edu"
"Revista de Sistemas, Cibernética e Informática","Journal","collected from a compatible aggregator","","http://www.iiisci.org/journal/risci/"
"Informing Science The International Journal of an Emerging Transdiscipline","Journal","collected from a compatible aggregator","","http://inform.nu/"
"Judgment and Decision Making","Journal","collected from a compatible aggregator","","https://www.cambridge.org/core/journals/judgment-and-decision-making"
"Sibirica","Journal","collected from a compatible aggregator","","https://www.berghahnjournals.com/view/journals/sibirica/sibirica-overview.xml"
"TH Wildau Engineering and Natural Sciences Proceedings","Journal","collected from a compatible aggregator","","https://www.tib-op.org/ojs/index.php/th-wildau-ensp/index"
"Journal of Regional Medical Campuses","Journal","collected from a compatible aggregator","","https://pubs.lib.umn.edu/index.php/jrmc/index"
"Postępy Mikrobiologii","Journal","collected from a compatible aggregator","","https://sciendo.com/journal/AM"
"Levantine Review","Journal","collected from a compatible aggregator","","http://ejournals.bc.edu/ojs/index.php/levantine/index"
"Journal of Soft Computing and Applications","Journal","collected from a compatible aggregator","","http://www.ispacs.com/jsca/"
"Nonlinear Engineering","Journal","collected from a compatible aggregator","","https://www.degruyter.com/view/j/nleng"
"New Waves: Educational Research &amp; Development","Journal","Not yet registered","","http://www.viethconsulting.com/members/publication/new_waves_home.php"
"Translational Vision Science &amp; Technology","Journal","Not yet registered","","http://tvst.arvojournals.org"
"Journal of Advances in Modeling Earth Systems","Journal","collected from a compatible aggregator","","http://agupubs.onlinelibrary.wiley.com/hub/journal/10.1002/(ISSN)1942-2466/"
