Name,Type,Compatibility,OAI-PMH,website
"International Journal of Innovative Technologies in Economy",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/ijite
"Science Review",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/sr
"European Journal of Intelligent Transportation Systems",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/ejits
"International Journal of Innovative Technologies in Social Science",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/ijitss
"International Academy Journal Web of Scholar",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/wos
"World Science",Journal,collected from a compatible aggregator,,https://rsglobal.pl/index.php/ws
"Jurnal Ilmiah Pendidikan Scholastic",Journal,collected from a compatible aggregator,,http://e-journal.sastra-unes.com/index.php/JIPS/index
"Jurnal Ilmiah Langue and Parole",Journal,collected from a compatible aggregator,,http://e-journal.sastra-unes.com/index.php/JILP/index
"Innovation and Software",Journal,collected from a compatible aggregator,,https://revistas.ulasalle.edu.pe/innosoft/index
"FiTUA: Journal of Islamic Studies",Journal,collected from a compatible aggregator,,http://ejournal.stitbima.ac.id/index.php/fitua/
"Fashluna: Jurnal Pendidikan Dasar dan Keguruan",Journal,collected from a compatible aggregator,,http://ejournal.stitbima.ac.id/index.php/fashluna/
"Fitrah: Jurnal Studi Pendidikan",Journal,collected from a compatible aggregator,,http://ejournal.stitbima.ac.id/index.php/fitrah/
"Научные журналы АлтГУ",Journal Aggregator/Publisher,OpenAIRE Basic (DRIVER OA),http://journal.asu.ru/index.php/index/oai,http://journal.asu.ru/index.php/index/index
"Journal of Open Hardware",Journal,OpenAIRE 3.0 (OA, funding),http://openhardware.metajnl.com/jms/index.php/up/oai/,http://openhardware.metajnl.com/
"Revista Voces de la Educación",Journal,OpenAIRE Basic (DRIVER OA),http://www.revista.vocesdelaeducacion.com.mx/index.php/index/oai,http://www.revista.vocesdelaeducacion.com.mx/index.php/voces/index
"Portal de Revistas Científicas da UFPA",Journal Aggregator/Publisher,OpenAIRE Basic (DRIVER OA),http://www.periodicos.ufpa.br/index.php/index/oai,http://www.periodicos.ufpa.br/
"Journal of Modern Materials",Journal,collected from a compatible aggregator,,https://journals.aijr.in/index.php/jmm
"International Annals of Science",Journal,collected from a compatible aggregator,,https://journals.aijr.in/index.php/ias
"Advanced Journal of Graduate Research",Journal,collected from a compatible aggregator,,https://journals.aijr.in/index.php/ajgr/index
"Rocznik Filozoficzny Ignatianum",Journal,collected from a compatible aggregator,,
"Edukacja Elementarna w Teorii i Praktyce",Journal,collected from a compatible aggregator,,
"Химия растительного сырья",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/cw/index
"Культурное наследие Сибири",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/knc/index
"Здоровье человека, теория и методика физической культуры и спорта",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/zosh/index
"Наука и туризм: стратегии взаимодействия",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/st/index
"Turczaninowia",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/tur/index
"Экономика Профессия Бизнес",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/ec/index
"Теория и практика археологических исследований",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/tpai/index
"Acta Biologica Sibirica",Journal,collected from a compatible aggregator,,http://journal.asu.ru/index.php/biol/index
"Annals of "Spiru Haret". Economic Series",Journal,collected from a compatible aggregator,,http://anale.spiruharet.ro/index.php/economics/index
"Annals of Spiru Haret University – Veterinary Medicine",Journal,collected from a compatible aggregator,,http://anale.spiruharet.ro/index.php/medvet/index
"Journal of Engineering Computers & Applied Sciences",Journal,collected from a compatible aggregator,,http://borjournals.com/a/index.php/jecas
"Journal of Business Management & Social Sciences Research",Journal,collected from a compatible aggregator,,http://borjournals.com/a/index.php/jbmssr
"Nazhruna: Jurnal Pendidikan Islam",Journal,collected from a compatible aggregator,,http://e-journal.ikhac.ac.id/index.php/NAZHRUNA/index
"Al-Tsiqoh",Journal,collected from a compatible aggregator,,http://e-journal.ikhac.ac.id/index.php/altsiqoh1/index
"Nidhomul Haq : Jurnal Manajemen Pendidikan Islam",Journal,collected from a compatible aggregator,,http://e-journal.ikhac.ac.id/index.php/nidhomulhaq/index
"Alsuna: Journal of Arabic and English Language",Journal,collected from a compatible aggregator,,http://e-journal.ikhac.ac.id/index.php/alsuna/index
"Stephan Mueller Special Publication Series (SMSPS",Journal,collected from a compatible aggregator,,http://www.stephan-mueller-special-publication-series.net/
"Climate of the Past (CP)",Journal,collected from a compatible aggregator,,http://www.climate-of-the-past.net/
"Archives Animal Breeding (AAB)",Journal,collected from a compatible aggregator,,http://www.archives-animal-breeding.net/
"Proceedings of the International Association of Hydrological Sciences (PIAHS)",Journal,collected from a compatible aggregator,,http://www.proceedings-international-association-of-hydrological-sciences.net/
"Scientific Drilling (SD)",Journal,collected from a compatible aggregator,,http://www.scientific-drilling.net/
"Advances in Science and Research (ASR)",Journal,collected from a compatible aggregator,,http://www.advances-in-science-and-research.net/
"Earth System Science Data (ESSD)",Journal,collected from a compatible aggregator,,http://www.earth-system-science-data.net/
"Annales Geophysicae (ANGEO)",Journal,collected from a compatible aggregator,,http://www.annales-geophysicae.net/
"History of Geo- and Space Sciences (HGSS)",Journal,collected from a compatible aggregator,,http://www.history-of-geo-and-space-sciences.net/
"Journal of Bone and Joint Infection (JBJI)",Journal,collected from a compatible aggregator,,https://www.journal-of-bone-and-joint-infection.net
"ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Journal,collected from a compatible aggregator,,http://www.isprs.org/publications/archives.aspx
"The Cryosphere (TC)",Journal,collected from a compatible aggregator,,http://www.the-cryosphere.net/
"Pattern Recognition in Physics",Journal,collected from a compatible aggregator,,http://www.pattern-recogn-phys.net/
"Hydrology and Earth System Sciences (HESS)",Journal,collected from a compatible aggregator,,http://www.hydrology-and-earth-system-sciences.net/
"Ocean Science (OS)",Journal,collected from a compatible aggregator,,http://www.ocean-science.net/
"Wind Energy Science",Journal,collected from a compatible aggregator,,http://wind-energy-science.net/
"Geographica Helvetica",Journal,collected from a compatible aggregator,,http://www.geographica-helvetica.net/
"Nonlinear Processes in Geophysics (NPG)",Journal,collected from a compatible aggregator,,http://www.nonlinear-processes-in-geophysics.net/
"Natural Hazards and Earth System Sciences (NHESS)",Journal,collected from a compatible aggregator,,http://www.natural-hazards-and-earth-system-sciences.net/
"Advances in Geosciences (ADGEO)",Journal,collected from a compatible aggregator,,http://www.advances-in-geosciences.net/
"ASTRA Proceedings (AP)",Journal,collected from a compatible aggregator,,http://www.astra-proceedings.net/
"AGILE: GIScience Series (AGILE-GISS)",Journal,collected from a compatible aggregator,,https://www.agile-giscience-series.net/
"Atmospheric Chemistry and Physics (ACP)",Journal,collected from a compatible aggregator,,http://www.atmospheric-chemistry-and-physics.net/
"Atmospheric Measurement Techniques (AMT)",Journal,collected from a compatible aggregator,,http://www.atmospheric-measurement-techniques.net/
"Earth Surface Dynamics (ESurf)",Journal,collected from a compatible aggregator,,http://www.earth-surface-dynamics.net/
"Drinking Water Engineering and Science (DWES)",Journal,collected from a compatible aggregator,,http://www.drinking-water-engineering-and-science.net/
"Biogeosciences (BG)",Journal,collected from a compatible aggregator,,http://www.biogeosciences.net/
"Journal of Sensors and Sensor Systems (JSSS)",Journal,collected from a compatible aggregator,,http://www.journal-of-sensors-and-sensor-systems.net/
"Mechanical Sciences (MS)",Journal,collected from a compatible aggregator,,http://www.mechanical-sciences.net/
"SOIL",Journal,collected from a compatible aggregator,,http://www.soil-journal.net/
"ISPRS Annals of Photogrammetry, Remote Sensing and Spatial Information Sciences",Journal,collected from a compatible aggregator,,http://www.isprs.org/publications/annals.aspx
"Advances in Statistical Climatology, Meteorology and Oceanography (ASCMO)",Journal,collected from a compatible aggregator,,http://advances-statistical-climatology-meteorology-oceanography.net/
"Advances in Radio Science (ARS)",Journal,collected from a compatible aggregator,,http://www.advances-in-radio-science.net/
"Earth System Dynamics (ESD)",Journal,collected from a compatible aggregator,,http://www.earth-system-dynamics.net/
"Geoscientific Model Development (GMD)",Journal,collected from a compatible aggregator,,http://www.geoscientific-model-development.net/
"Geothermal Energy Science (GtES)",Journal,collected from a compatible aggregator,,http://www.geothermal-energy-science.net/
"Primate Biology (PB)",Journal,collected from a compatible aggregator,,http://www.primate-biology.net/
"Solid Earth (SE)",Journal,collected from a compatible aggregator,,http://www.solid-earth.net/home.html
"Fossil Record (FR)",Journal,collected from a compatible aggregator,,http://www.fossil-record.net/
"Web Ecology (WE)",Journal,collected from a compatible aggregator,,http://www.web-ecology.net/
"Geoscientific Instrumentation, Methods and Data Systems (GI)",Journal,collected from a compatible aggregator,,http://www.geoscientific-instrumentation-methods-and-data-systems.net/
"Journal of Research in Emerging Markets",Journal,collected from a compatible aggregator,,http://publications.ud.ac.ae/index.php/jrems
"International Review of Advances in Business, Management and Law",Journal,collected from a compatible aggregator,,http://publications.ud.ac.ae/index.php/IRBML
"International Conference on Advances in Business and Law (ICABL)",Journal,collected from a compatible aggregator,,https://publications.ud.ac.ae/index.php/ICABML-CP/index
"Policy and Governance Review",Journal,collected from a compatible aggregator,,https://journal.iapa.or.id/pgr
"Drammaturgia",Journal,collected from a compatible aggregator,,http://www.fupress.net/index.php/drammaturgia/index
"Southeast Asian Studies",Journal,collected from a compatible aggregator,,http://englishkyoto-seas.org/
"Epidemiologia e Serviços de Saúde",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;pid=2237-9622&amp;lng=en&amp;nrm=iso
"İnsan &amp; Toplum",Journal,collected from a compatible aggregator,,http://insanvetoplum.org/en
"IBDA': Jurnal Kebudayaan Islam",Journal,collected from a compatible aggregator,,http://ejournal.iainpurwokerto.ac.id/index.php/ibda
"IndoMath",Journal,collected from a compatible aggregator,,http://jurnal.ustjogja.ac.id/index.php/Indomath
"Nusantara Bioscience",Journal,collected from a compatible aggregator,,http://biosains.mipa.uns.ac.id/nusbioscience.htm
"Catalan Journal of Linguistics",Journal,collected from a compatible aggregator,,http://revistes.uab.cat/catJL/index
"Darnioji daugiakalbystė",Journal,collected from a compatible aggregator,,https://content.sciendo.com/view/journals/sm/sm-overview.xml
"Redescriptions",Journal,collected from a compatible aggregator,,https://journal-redescriptions.org
"Didattica della Matematica",Journal,collected from a compatible aggregator,,http://www.rivistaddm.ch/?lang=en
"Eurasian Journal of Medicine",Journal,collected from a compatible aggregator,,https://www.eajm.org/eng/Anasayfa
"Amasya İlahiyat Dergisi",Journal,collected from a compatible aggregator,,https://dergipark.org.tr/amailad
"Atrio.",Journal,collected from a compatible aggregator,,https://www.upo.es/revistas/index.php/atrio
"Studia Historica: Historia Antigua",Journal,collected from a compatible aggregator,,http://revistas.usal.es/index.php/0213-2052/index
"Journal of Philosophical Economics",Journal,collected from a compatible aggregator,,https://jpe.ro/
"Journal of Global Radiology",Journal,collected from a compatible aggregator,,http://escholarship.umassmed.edu/jgr/
"Educar",Journal,collected from a compatible aggregator,,http://educar.uab.cat/
"Kom: Časopis za Religijske Nauke",Journal,collected from a compatible aggregator,,http://scindeks.ceon.rs/journalDetails.aspx?issn=2334-6396&amp;lang=en
"International Journal on Emerging Mathematics Education",Journal,collected from a compatible aggregator,,http://journal.uad.ac.id/index.php/IJEME
"Fizička Kultura",Journal,collected from a compatible aggregator,,http://scindeks.ceon.rs/journaldetails.aspx?issn=0350-3828&amp;lang=en
"Revista Brasileira de Oftalmologia",Journal,collected from a compatible aggregator,,http://www.scielo.br/scielo.php?script=sci_serial&amp;lng=pt&amp;pid=0034-7280&amp;nrm=iso
"Dialogue Méditerranéen",Journal,collected from a compatible aggregator,,https://www.univ-sba.dz/med_dialogue
"Jurnal Penelitian dan Evaluasi Pendidikan",Journal,collected from a compatible aggregator,,http://journal.uny.ac.id/index.php/jpep
"Interaction Design and Architecture(s)",Journal,collected from a compatible aggregator,,http://www.mifav.uniroma2.it/inevent/events/idea2010/index.php
"Jurnal Nasional Teknik Elektro dan Teknologi Informasi",Journal,collected from a compatible aggregator,,http://ejnteti.jteti.ugm.ac.id/
"Revista Electrónica Sinéctica",Journal,collected from a compatible aggregator,,http://www.redalyc.org/revista.oa?id=998
"Revista UniVap",Journal,collected from a compatible aggregator,,http://revista.univap.br
"Agriculture",Journal,collected from a compatible aggregator,,https://en.nbpublish.com/e_sh/
"Islamic Guidance and Counseling Journal",Journal,collected from a compatible aggregator,,http://journal.iaimnumetrolampung.ac.id/index.php/igcj
"Nordisk Barnehageforskning",Journal,collected from a compatible aggregator,,http://www.nordiskbarnehageforskning.no/
"Papeles del CEIC: International Journal on Collective Identity Research",Journal,collected from a compatible aggregator,,http://www.ehu.es/ojs/index.php/papelesCEIC/index
"Anuario de Psicología Jurídica",Journal,collected from a compatible aggregator,,https://journals.copmadrid.org/apj/
"IMC Journal of Medical Science",Journal,collected from a compatible aggregator,,http://www.imcjms.com
"Journal of Environmental Geography",Journal,collected from a compatible aggregator,,http://www.degruyter.com/view/j/jengeo
"Revista Electrónica en Educación y Pedagogía",Journal,collected from a compatible aggregator,,https://revedupe.unicesmag.edu.co/index.php/EDUPE
"Life",Journal,collected from a compatible aggregator,,http://www.mdpi.com/journal/life
"Clinical Medicine Insights: Reproductive Health",Journal,collected from a compatible aggregator,,https://journals.sagepub.com/home/reh
